시도,시군구,연도,월,사고건수
서울,강서구,2018년,11월,146.0
서울,강서구,2018년,12월,127.0
서울,강서구,2019년,01월,136.0
서울,강서구,2019년,02월,131.0
서울,강서구,2019년,03월,144.0
서울,강서구,2019년,04월,140.0
서울,강서구,2019년,05월,153.0
서울,강서구,2019년,06월,143.0
서울,강서구,2019년,07월,147.0
서울,강서구,2019년,08월,189.0
서울,강서구,2019년,09월,162.0
서울,강서구,2019년,10월,167.0
서울,강서구,2019년,11월,162.0
서울,강서구,2019년,12월,155.0
서울,강서구,2020년,01월,135.0
서울,강서구,2020년,02월,128.0
서울,강서구,2020년,03월,123.0
서울,강서구,2020년,04월,124.0
서울,강서구,2020년,05월,158.0
서울,강서구,2020년,06월,137.0
서울,강서구,2020년,07월,128.0
서울,강서구,2020년,08월,129.0
서울,강서구,2020년,09월,150.0
서울,강서구,2020년,10월,130.0
서울,강서구,2020년,11월,133.0
서울,강서구,2020년,12월,100.0
서울,구로구,2018년,01월,103.0
서울,구로구,2018년,02월,118.0
서울,구로구,2018년,03월,124.0
서울,구로구,2018년,04월,114.0
서울,구로구,2018년,05월,137.0
서울,구로구,2018년,06월,126.0
서울,구로구,2018년,07월,148.0
서울,구로구,2018년,08월,117.0
서울,구로구,2018년,09월,142.0
서울,구로구,2018년,10월,147.0
서울,구로구,2018년,11월,128.0
서울,구로구,2018년,12월,128.0
서울,구로구,2019년,01월,140.0
서울,구로구,2019년,02월,100.0
서울,구로구,2019년,03월,132.0
서울,구로구,2019년,04월,138.0
서울,구로구,2019년,05월,129.0
서울,구로구,2019년,06월,134.0
서울,구로구,2019년,07월,112.0
서울,구로구,2019년,08월,124.0
서울,구로구,2019년,09월,128.0
서울,구로구,2019년,10월,129.0
서울,구로구,2019년,11월,137.0
서울,구로구,2019년,12월,126.0
서울,구로구,2020년,01월,115.0
서울,구로구,2020년,02월,117.0
서울,구로구,2020년,03월,108.0
서울,구로구,2020년,04월,104.0
서울,구로구,2020년,05월,117.0
서울,구로구,2020년,06월,112.0
서울,구로구,2020년,07월,111.0
서울,구로구,2020년,08월,123.0
서울,구로구,2020년,09월,113.0
서울,구로구,2020년,10월,96.0
서울,구로구,2020년,11월,114.0
서울,구로구,2020년,12월,95.0
서울,영등포구,2018년,01월,222.0
서울,영등포구,2018년,02월,185.0
서울,영등포구,2018년,03월,193.0
서울,영등포구,2018년,04월,197.0
서울,영등포구,2018년,05월,196.0
서울,영등포구,2018년,06월,221.0
서울,영등포구,2018년,07월,195.0
서울,영등포구,2018년,08월,223.0
서울,영등포구,2018년,09월,221.0
서울,영등포구,2018년,10월,207.0
서울,영등포구,2018년,11월,220.0
서울,영등포구,2018년,12월,213.0
서울,영등포구,2019년,01월,197.0
서울,영등포구,2019년,02월,139.0
서울,영등포구,2019년,03월,187.0
서울,영등포구,2019년,04월,228.0
서울,영등포구,2019년,05월,214.0
서울,영등포구,2019년,06월,217.0
서울,영등포구,2019년,07월,212.0
서울,영등포구,2019년,08월,214.0
서울,영등포구,2019년,09월,190.0
서울,영등포구,2019년,10월,238.0
서울,영등포구,2019년,11월,200.0
서울,영등포구,2019년,12월,203.0
서울,영등포구,2020년,01월,195.0
서울,영등포구,2020년,02월,193.0
서울,영등포구,2020년,03월,174.0
서울,영등포구,2020년,04월,170.0
서울,영등포구,2020년,05월,188.0
서울,영등포구,2020년,06월,194.0
서울,영등포구,2020년,07월,222.0
서울,영등포구,2020년,08월,186.0
서울,영등포구,2020년,09월,165.0
서울,영등포구,2020년,10월,177.0
서울,영등포구,2020년,11월,166.0
서울,영등포구,2020년,12월,178.0
서울,동작구,2018년,01월,92.0
서울,동작구,2018년,02월,109.0
서울,동작구,2018년,03월,89.0
서울,동작구,2018년,04월,133.0
서울,동작구,2018년,05월,125.0
서울,동작구,2018년,06월,133.0
서울,동작구,2018년,07월,110.0
서울,동작구,2018년,08월,134.0
서울,동작구,2018년,09월,122.0
서울,동작구,2018년,10월,126.0
서울,동작구,2018년,11월,113.0
서울,동작구,2018년,12월,126.0
서울,동작구,2019년,01월,89.0
서울,동작구,2019년,02월,87.0
서울,동작구,2019년,03월,130.0
서울,동작구,2019년,04월,111.0
서울,동작구,2019년,05월,137.0
서울,동작구,2019년,06월,125.0
서울,동작구,2019년,07월,121.0
서울,동작구,2019년,08월,106.0
서울,동작구,2019년,09월,124.0
서울,동작구,2019년,10월,133.0
서울,동작구,2019년,11월,131.0
서울,동작구,2019년,12월,112.0
서울,동작구,2020년,01월,100.0
서울,동작구,2020년,02월,86.0
서울,동작구,2020년,03월,108.0
서울,동작구,2020년,04월,104.0
서울,동작구,2020년,05월,118.0
서울,동작구,2020년,06월,148.0
서울,동작구,2020년,07월,102.0
서울,동작구,2020년,08월,122.0
서울,동작구,2020년,09월,119.0
서울,동작구,2020년,10월,108.0
서울,동작구,2020년,11월,97.0
서울,동작구,2020년,12월,95.0
서울,관악구,2018년,01월,102.0
서울,관악구,2018년,02월,108.0
서울,관악구,2018년,03월,107.0
서울,관악구,2018년,04월,113.0
서울,관악구,2018년,05월,119.0
서울,관악구,2018년,06월,100.0
서울,관악구,2018년,07월,107.0
서울,관악구,2018년,08월,115.0
서울,관악구,2018년,09월,103.0
서울,관악구,2018년,10월,106.0
서울,관악구,2018년,11월,115.0
서울,관악구,2018년,12월,105.0
서울,관악구,2019년,01월,104.0
서울,관악구,2019년,02월,94.0
서울,관악구,2019년,03월,101.0
서울,관악구,2019년,04월,129.0
서울,관악구,2019년,05월,115.0
서울,관악구,2019년,06월,121.0
서울,관악구,2019년,07월,132.0
서울,관악구,2019년,08월,128.0
서울,관악구,2019년,09월,114.0
서울,관악구,2019년,10월,114.0
서울,관악구,2019년,11월,117.0
서울,관악구,2019년,12월,94.0
서울,관악구,2020년,01월,91.0
서울,관악구,2020년,02월,114.0
서울,관악구,2020년,03월,121.0
서울,관악구,2020년,04월,112.0
서울,관악구,2020년,05월,111.0
서울,관악구,2020년,06월,119.0
서울,관악구,2020년,07월,137.0
서울,관악구,2020년,08월,145.0
서울,관악구,2020년,09월,117.0
서울,관악구,2020년,10월,133.0
서울,관악구,2020년,11월,121.0
서울,관악구,2020년,12월,123.0
서울,강남구,2018년,01월,316.0
서울,강남구,2018년,02월,249.0
서울,강남구,2018년,03월,278.0
서울,강남구,2018년,04월,283.0
서울,강남구,2018년,05월,288.0
서울,강남구,2018년,06월,288.0
서울,강남구,2018년,07월,326.0
서울,강남구,2018년,08월,301.0
서울,강남구,2018년,09월,249.0
서울,강남구,2018년,10월,297.0
서울,강남구,2018년,11월,292.0
서울,강남구,2018년,12월,292.0
서울,강남구,2019년,01월,281.0
서울,강남구,2019년,02월,227.0
서울,강남구,2019년,03월,280.0
서울,강남구,2019년,04월,295.0
서울,강남구,2019년,05월,320.0
서울,강남구,2019년,06월,302.0
서울,강남구,2019년,07월,326.0
서울,강남구,2019년,08월,320.0
서울,강남구,2019년,09월,302.0
서울,강남구,2019년,10월,336.0
서울,강남구,2019년,11월,383.0
서울,강남구,2019년,12월,350.0
서울,강남구,2020년,01월,275.0
서울,강남구,2020년,02월,343.0
서울,강남구,2020년,03월,265.0
서울,강남구,2020년,04월,291.0
서울,강남구,2020년,05월,320.0
서울,강남구,2020년,06월,337.0
서울,강남구,2020년,07월,396.0
서울,강남구,2020년,08월,330.0
서울,강남구,2020년,09월,309.0
서울,강남구,2020년,10월,302.0
서울,강남구,2020년,11월,315.0
서울,강남구,2020년,12월,269.0
서울,강동구,2018년,01월,85.0
서울,강동구,2018년,02월,100.0
서울,강동구,2018년,03월,118.0
서울,강동구,2018년,04월,124.0
서울,강동구,2018년,05월,123.0
서울,강동구,2018년,06월,119.0
서울,강동구,2018년,07월,124.0
서울,강동구,2018년,08월,120.0
서울,강동구,2018년,09월,121.0
서울,강동구,2018년,10월,138.0
서울,강동구,2018년,11월,114.0
서울,강동구,2018년,12월,132.0
서울,강동구,2019년,01월,98.0
서울,강동구,2019년,02월,87.0
서울,강동구,2019년,03월,122.0
서울,강동구,2019년,04월,112.0
서울,강동구,2019년,05월,139.0
서울,강동구,2019년,06월,123.0
서울,강동구,2019년,07월,146.0
서울,강동구,2019년,08월,127.0
서울,강동구,2019년,09월,98.0
서울,강동구,2019년,10월,108.0
서울,강동구,2019년,11월,146.0
서울,강동구,2019년,12월,108.0
서울,강동구,2020년,01월,100.0
서울,강동구,2020년,02월,102.0
서울,강동구,2020년,03월,66.0
서울,강동구,2020년,04월,117.0
서울,강동구,2020년,05월,119.0
서울,강동구,2020년,06월,118.0
서울,강동구,2020년,07월,100.0
서울,강동구,2020년,08월,100.0
서울,강동구,2020년,09월,122.0
서울,강동구,2020년,10월,109.0
서울,강동구,2020년,11월,103.0
서울,강동구,2020년,12월,112.0
서울,송파구,2018년,01월,224.0
서울,송파구,2018년,02월,191.0
서울,송파구,2018년,03월,212.0
서울,송파구,2018년,04월,265.0
서울,송파구,2018년,05월,266.0
서울,송파구,2018년,06월,248.0
서울,송파구,2018년,07월,288.0
서울,송파구,2018년,08월,220.0
서울,송파구,2018년,09월,202.0
서울,송파구,2018년,10월,273.0
서울,송파구,2018년,11월,236.0
서울,송파구,2018년,12월,235.0
서울,송파구,2019년,01월,212.0
서울,송파구,2019년,02월,193.0
서울,송파구,2019년,03월,243.0
서울,송파구,2019년,04월,228.0
서울,송파구,2019년,05월,277.0
서울,송파구,2019년,06월,241.0
서울,송파구,2019년,07월,227.0
서울,송파구,2019년,08월,247.0
서울,송파구,2019년,09월,245.0
서울,송파구,2019년,10월,304.0
서울,송파구,2019년,11월,260.0
서울,송파구,2019년,12월,215.0
서울,송파구,2020년,01월,228.0
서울,송파구,2020년,02월,178.0
서울,송파구,2020년,03월,177.0
서울,송파구,2020년,04월,199.0
