시도,시군구,연도,월,부상자수
서울,동작구,2019년,08월,150.0
서울,동작구,2019년,09월,156.0
서울,동작구,2019년,10월,184.0
서울,동작구,2019년,11월,193.0
서울,동작구,2019년,12월,172.0
서울,동작구,2020년,01월,135.0
서울,동작구,2020년,02월,129.0
서울,동작구,2020년,03월,146.0
서울,동작구,2020년,04월,147.0
서울,동작구,2020년,05월,147.0
서울,동작구,2020년,06월,218.0
서울,동작구,2020년,07월,136.0
서울,동작구,2020년,08월,170.0
서울,동작구,2020년,09월,164.0
서울,동작구,2020년,10월,152.0
서울,동작구,2020년,11월,128.0
서울,동작구,2020년,12월,147.0
서울,관악구,2018년,01월,130.0
서울,관악구,2018년,02월,138.0
서울,관악구,2018년,03월,139.0
서울,관악구,2018년,04월,148.0
서울,관악구,2018년,05월,155.0
서울,관악구,2018년,06월,126.0
서울,관악구,2018년,07월,148.0
서울,관악구,2018년,08월,161.0
서울,관악구,2018년,09월,144.0
서울,관악구,2018년,10월,149.0
서울,관악구,2018년,11월,144.0
서울,관악구,2018년,12월,135.0
서울,관악구,2019년,01월,148.0
서울,관악구,2019년,02월,116.0
서울,관악구,2019년,03월,131.0
서울,관악구,2019년,04월,163.0
서울,관악구,2019년,05월,144.0
서울,관악구,2019년,06월,154.0
서울,관악구,2019년,07월,166.0
서울,관악구,2019년,08월,166.0
서울,관악구,2019년,09월,149.0
서울,관악구,2019년,10월,144.0
서울,관악구,2019년,11월,141.0
서울,관악구,2019년,12월,133.0
서울,관악구,2020년,01월,129.0
서울,관악구,2020년,02월,158.0
서울,관악구,2020년,03월,145.0
서울,관악구,2020년,04월,137.0
서울,관악구,2020년,05월,145.0
서울,관악구,2020년,06월,148.0
서울,관악구,2020년,07월,173.0
서울,관악구,2020년,08월,172.0
서울,관악구,2020년,09월,156.0
서울,관악구,2020년,10월,160.0
서울,관악구,2020년,11월,144.0
서울,관악구,2020년,12월,152.0
서울,강남구,2018년,01월,456.0
서울,강남구,2018년,02월,369.0
서울,강남구,2018년,03월,393.0
서울,강남구,2018년,04월,411.0
서울,강남구,2018년,05월,404.0
서울,강남구,2018년,06월,436.0
서울,강남구,2018년,07월,427.0
서울,강남구,2018년,08월,438.0
서울,강남구,2018년,09월,356.0
서울,강남구,2018년,10월,403.0
서울,강남구,2018년,11월,447.0
서울,강남구,2018년,12월,427.0
서울,강남구,2019년,01월,412.0
서울,강남구,2019년,02월,315.0
서울,강남구,2019년,03월,401.0
서울,강남구,2019년,04월,389.0
서울,강남구,2019년,05월,484.0
서울,강남구,2019년,06월,442.0
서울,강남구,2019년,07월,450.0
서울,강남구,2019년,08월,435.0
서울,강남구,2019년,09월,389.0
서울,강남구,2019년,10월,440.0
서울,강남구,2019년,11월,542.0
서울,강남구,2019년,12월,483.0
서울,강남구,2020년,01월,393.0
서울,강남구,2020년,02월,450.0
서울,강남구,2020년,03월,365.0
서울,강남구,2020년,04월,426.0
서울,강남구,2020년,05월,441.0
서울,강남구,2020년,06월,474.0
서울,강남구,2020년,07월,539.0
서울,강남구,2020년,08월,484.0
서울,강남구,2020년,09월,432.0
서울,강남구,2020년,10월,417.0
서울,강남구,2020년,11월,409.0
서울,강남구,2020년,12월,359.0
서울,강동구,2018년,01월,101.0
서울,강동구,2018년,02월,136.0
서울,강동구,2018년,03월,157.0
서울,강동구,2018년,04월,152.0
서울,강동구,2018년,05월,190.0
서울,강동구,2018년,06월,178.0
서울,강동구,2018년,07월,171.0
서울,강동구,2018년,08월,161.0
서울,강동구,2018년,09월,159.0
서울,강동구,2018년,10월,189.0
서울,강동구,2018년,11월,135.0
서울,강동구,2018년,12월,193.0
서울,강동구,2019년,01월,115.0
서울,강동구,2019년,02월,133.0
서울,강동구,2019년,03월,163.0
서울,강동구,2019년,04월,153.0
서울,강동구,2019년,05월,192.0
서울,강동구,2019년,06월,179.0
서울,강동구,2019년,07월,189.0
서울,강동구,2019년,08월,175.0
서울,강동구,2019년,09월,137.0
서울,강동구,2019년,10월,144.0
서울,강동구,2019년,11월,199.0
서울,강동구,2019년,12월,131.0
서울,강동구,2020년,01월,122.0
서울,강동구,2020년,02월,130.0
서울,강동구,2020년,03월,82.0
서울,강동구,2020년,04월,151.0
서울,강동구,2020년,05월,150.0
서울,강동구,2020년,06월,150.0
서울,강동구,2020년,07월,122.0
서울,강동구,2020년,08월,123.0
서울,강동구,2020년,09월,173.0
서울,강동구,2020년,10월,137.0
서울,강동구,2020년,11월,126.0
서울,강동구,2020년,12월,134.0
서울,송파구,2018년,01월,320.0
서울,송파구,2018년,02월,266.0
서울,송파구,2018년,03월,290.0
서울,송파구,2018년,04월,365.0
서울,송파구,2018년,05월,352.0
서울,송파구,2018년,06월,336.0
서울,송파구,2018년,07월,396.0
서울,송파구,2018년,08월,309.0
서울,송파구,2018년,09월,283.0
서울,송파구,2018년,10월,364.0
서울,송파구,2018년,11월,333.0
서울,송파구,2018년,12월,318.0
서울,송파구,2019년,01월,319.0
서울,송파구,2019년,02월,253.0
서울,송파구,2019년,03월,336.0
서울,송파구,2019년,04월,317.0
서울,송파구,2019년,05월,398.0
서울,송파구,2019년,06월,311.0
서울,송파구,2019년,07월,312.0
서울,송파구,2019년,08월,340.0
서울,송파구,2019년,09월,341.0
서울,송파구,2019년,10월,447.0
서울,송파구,2019년,11월,330.0
서울,송파구,2019년,12월,299.0
서울,송파구,2020년,01월,354.0
서울,송파구,2020년,02월,245.0
서울,송파구,2020년,03월,235.0
서울,송파구,2020년,04월,276.0
서울,송파구,2020년,05월,294.0
서울,송파구,2020년,06월,321.0
서울,송파구,2020년,07월,317.0
서울,송파구,2020년,08월,259.0
서울,송파구,2020년,09월,300.0
서울,송파구,2020년,10월,312.0
서울,송파구,2020년,11월,331.0
서울,송파구,2020년,12월,265.0
서울,서초구,2018년,01월,321.0
서울,서초구,2018년,02월,297.0
서울,서초구,2018년,03월,331.0
서울,서초구,2018년,04월,246.0
서울,서초구,2018년,05월,310.0
서울,서초구,2018년,06월,271.0
서울,서초구,2018년,07월,312.0
서울,서초구,2018년,08월,296.0
서울,서초구,2018년,09월,287.0
서울,서초구,2018년,10월,313.0
서울,서초구,2018년,11월,337.0
서울,서초구,2018년,12월,319.0
서울,서초구,2019년,01월,293.0
서울,서초구,2019년,02월,237.0
서울,서초구,2019년,03월,243.0
서울,서초구,2019년,04월,311.0
서울,서초구,2019년,05월,277.0
서울,서초구,2019년,06월,288.0
서울,서초구,2019년,07월,296.0
서울,서초구,2019년,08월,271.0
서울,서초구,2019년,09월,301.0
서울,서초구,2019년,10월,320.0
서울,서초구,2019년,11월,371.0
서울,서초구,2019년,12월,322.0
서울,서초구,2020년,01월,213.0
서울,서초구,2020년,02월,264.0
서울,서초구,2020년,03월,214.0
서울,서초구,2020년,04월,230.0
서울,서초구,2020년,05월,310.0
서울,서초구,2020년,06월,281.0
서울,서초구,2020년,07월,304.0
서울,서초구,2020년,08월,239.0
서울,서초구,2020년,09월,248.0
서울,서초구,2020년,10월,268.0
서울,서초구,2020년,11월,294.0
서울,서초구,2020년,12월,210.0
서울,양천구,2018년,01월,179.0
서울,양천구,2018년,02월,140.0
서울,양천구,2018년,03월,171.0
서울,양천구,2018년,04월,141.0
서울,양천구,2018년,05월,201.0
서울,양천구,2018년,06월,180.0
서울,양천구,2018년,07월,166.0
서울,양천구,2018년,08월,176.0
서울,양천구,2018년,09월,112.0
서울,양천구,2018년,10월,181.0
서울,양천구,2018년,11월,141.0
서울,양천구,2018년,12월,151.0
서울,양천구,2019년,01월,182.0
서울,양천구,2019년,02월,115.0
서울,양천구,2019년,03월,164.0
서울,양천구,2019년,04월,174.0
서울,양천구,2019년,05월,194.0
서울,양천구,2019년,06월,147.0
서울,양천구,2019년,07월,166.0
서울,양천구,2019년,08월,217.0
서울,양천구,2019년,09월,135.0
서울,양천구,2019년,10월,232.0
서울,양천구,2019년,11월,172.0
서울,양천구,2019년,12월,187.0
서울,양천구,2020년,01월,154.0
서울,양천구,2020년,02월,145.0
서울,양천구,2020년,03월,140.0
서울,양천구,2020년,04월,123.0
서울,양천구,2020년,05월,160.0
서울,양천구,2020년,06월,136.0
서울,양천구,2020년,07월,147.0
서울,양천구,2020년,08월,170.0
서울,양천구,2020년,09월,179.0
서울,양천구,2020년,10월,209.0
서울,양천구,2020년,11월,141.0
서울,양천구,2020년,12월,125.0
서울,중랑구,2018년,01월,183.0
서울,중랑구,2018년,02월,169.0
서울,중랑구,2018년,03월,140.0
서울,중랑구,2018년,04월,159.0
서울,중랑구,2018년,05월,213.0
서울,중랑구,2018년,06월,180.0
서울,중랑구,2018년,07월,188.0
서울,중랑구,2018년,08월,153.0
서울,중랑구,2018년,09월,183.0
